序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2470,600267,海正药业,11.53,1.23,0.14,1096150.0,1284320403.0,6.85,12.24,11.46,11.93,11.39,5.34,9.14,9.71,1.55,13821716590.0,13821716590.0,0.0,0.0,8.88,16.58
2471,600489,中金黄金,27.07,1.23,0.33,481955.0,1298473078.0,1.57,27.16,26.74,26.88,26.74,0.87,0.99,26.75,4.49,131216751107.0,131216751107.0,0.04,-0.07,5.58,15.88
2472,688037,芯源微,184.23,1.23,2.24,61861.0,1151361078.0,5.32,189.98,180.3,182.9,181.99,1.23,3.07,518.12,13.3,37145796742.0,37145796742.0,-0.03,0.13,1.27,24.05
2473,001215,千味央厨,38.75,1.23,0.47,34003.0,131347724.38,3.0,38.95,37.8,38.38,38.28,1.62,3.51,52.51,2.02,3764967283.0,3750337879.0,0.03,-0.08,-14.67,0.65
2474,300872,天阳科技,16.48,1.23,0.2,66567.0,109409854.41,1.78,16.54,16.25,16.27,16.28,0.65,1.58,104.44,2.21,8044235448.0,6955247101.0,-0.06,-0.06,-22.19,-19.84
2475,600865,百大集团,11.48,1.23,0.14,64168.0,72903953.0,3.0,11.49,11.15,11.32,11.34,1.28,1.71,135.16,1.88,4319238828.0,4319238828.0,0.0,0.0,-27.98,-30.0
2476,300771,智莱科技,14.04,1.23,0.17,51922.0,72377216.9,2.45,14.1,13.76,13.88,13.87,1.1,2.91,40.72,1.7,3369600000.0,2507166226.0,0.14,-0.07,-11.92,-9.42
2477,300092,科新机电,16.49,1.23,0.2,37994.0,62312201.0,2.27,16.52,16.15,16.48,16.29,0.73,1.81,70.56,2.77,4516994739.0,3460694561.0,0.0,-0.06,-3.68,4.43
2478,002277,友阿股份,5.76,1.23,0.07,172178.0,98685713.69,2.28,5.78,5.65,5.68,5.69,1.0,1.23,94.28,1.19,8030435328.0,8030435328.0,0.0,0.17,-26.62,-17.24
2479,002641,公元股份,4.13,1.23,0.05,65807.0,27006892.4,1.47,4.13,4.07,4.08,4.08,0.95,0.58,84.09,0.93,5076157687.0,4683397917.0,0.0,0.49,-7.4,-4.4
2480,301372,科净源,32.98,1.23,0.4,62455.0,204433954.69,7.55,33.8,31.34,32.58,32.58,1.37,15.17,106.19,2.87,2261485761.0,1357801276.0,0.06,-0.12,22.97,30.05
2481,301456,盘古智能,29.61,1.23,0.36,14835.0,43591326.66,2.63,29.66,28.89,29.43,29.25,1.13,2.45,55.11,2.02,4454759506.0,1791407013.0,-0.07,-0.07,-7.27,-6.0
2482,003005,竞业达,18.26,1.22,0.22,20445.0,37212550.2,1.44,18.31,18.05,18.07,18.04,1.06,1.61,-94.29,2.35,4225157498.0,2318622042.0,-0.05,0.05,-18.45,-10.45
2483,300997,欢乐家,20.77,1.22,0.25,97404.0,200751864.82,4.19,20.95,20.09,20.34,20.52,2.38,2.45,205.69,8.69,9086324076.0,8247587277.0,0.53,0.1,-27.38,-20.57
2484,600206,有研新材,22.33,1.22,0.27,300590.0,665990609.0,2.72,22.38,21.78,21.92,22.06,0.72,3.55,57.78,4.46,18903535904.0,18903535904.0,-0.04,-0.09,2.9,9.84
2485,300252,金信诺,14.11,1.22,0.17,180888.0,253551872.65,2.22,14.12,13.81,13.91,13.94,0.56,3.24,888.05,4.28,9342990598.0,7884554541.0,0.0,0.0,-10.13,-3.49
2486,301381,赛维时代,20.75,1.22,0.25,36843.0,75894236.63,1.76,20.79,20.43,20.49,20.5,0.66,1.88,29.94,3.15,8371757650.0,4055965150.0,-0.05,-0.1,-9.55,0.78
2487,002524,光正眼科,4.16,1.22,0.05,127631.0,52619201.0,2.19,4.17,4.08,4.14,4.11,0.87,2.5,9271.43,17.69,2143779348.0,2125166468.0,0.24,0.0,-7.35,0.97
2488,920019,铜冠矿建,18.3,1.22,0.22,17625.0,31898808.95,3.48,18.5,17.87,18.18,18.08,1.11,1.05,89.58,4.21,3847880610.0,3065902688.0,0.0,0.22,-14.88,-12.69
2489,300459,汤姆猫,4.16,1.22,0.05,735041.0,305034034.75,1.7,4.18,4.11,4.12,4.11,1.12,2.24,-249.64,6.98,14625773506.0,13674724769.0,0.0,-0.24,-30.67,-9.37
2490,600894,广日股份,9.99,1.22,0.12,89668.0,88896592.0,2.33,10.03,9.8,9.89,9.87,0.75,1.06,12.34,0.96,8508266836.0,8423013006.0,0.1,0.1,5.16,8.0
2491,002903,宇环数控,31.43,1.22,0.38,88258.0,274601789.3,2.87,31.5,30.61,31.06,31.05,0.76,8.27,-251.02,6.26,4925018140.0,3352501348.0,-0.03,-0.06,23.69,36.65
2492,603317,天味食品,13.31,1.22,0.16,100758.0,133581515.0,2.74,13.41,13.05,13.11,13.15,0.99,0.95,24.87,3.12,14171353908.0,14171353908.0,0.0,0.15,1.99,6.31
